elapsed_s,src_ip,rate_kbps,pps,ce_fraction,congested
4.255,10.0.1.1,575,44.7,0.0000,0
5.257,10.0.1.1,575,46.9,0.0000,0
6.259,10.0.1.1,575,45.9,0.0000,0
7.283,10.0.1.1,575,44.9,0.0000,0
8.285,10.0.1.1,575,45.9,0.0000,0
9.292,10.0.1.1,575,45.7,0.0000,0
10.298,10.0.1.1,575,45.7,0.0000,0
11.299,10.0.1.1,575,46.0,0.0000,0
12.302,10.0.1.1,575,45.9,0.0000,0
13.313,10.0.1.1,575,45.5,0.0000,0
14.329,10.0.1.1,575,46.3,0.0000,0
15.349,10.0.1.1,575,46.1,0.0000,0
16.367,10.0.1.1,575,46.1,0.0000,0
17.386,10.0.1.1,575,46.1,0.0000,0
18.404,10.0.1.1,575,46.2,0.0000,0
19.407,10.0.1.1,575,46.9,0.0000,0
20.427,10.0.1.1,575,45.1,0.0000,0
21.445,10.0.1.1,575,46.2,0.0000,0
22.452,10.0.1.1,575,45.7,0.0000,0
23.469,10.0.1.1,575,46.2,0.0000,0
24.490,10.0.1.1,575,34.3,0.3714,1
24.817,10.0.2.2,575,28.0,0.7500,1
25.525,10.0.1.1,474,26.1,1.0000,1
25.835,10.0.2.2,474,27.5,1.0000,1
26.561,10.0.1.1,361,27.0,1.0000,1
26.871,10.0.2.2,474,28.0,1.0000,1
27.562,10.0.1.1,361,26.0,1.0000,1
27.871,10.0.2.2,361,26.0,1.0000,1
28.580,10.0.1.1,278,26.5,1.0000,1
28.907,10.0.2.2,278,28.0,1.0000,1
29.581,10.0.1.1,184,25.0,1.0000,1
29.945,10.0.2.2,184,27.0,1.0000,1
30.631,10.0.1.1,156,23.8,0.8400,1
30.950,10.0.2.2,156,20.9,0.5714,1
31.671,10.0.1.1,135,11.5,0.0000,0
31.981,10.0.2.2,135,11.6,0.0000,0
32.672,10.0.1.1,168,14.0,0.0000,0
33.037,10.0.2.2,168,14.2,0.0000,0
33.684,10.0.1.1,216,17.8,0.0000,0
34.059,10.0.2.2,216,17.6,0.0000,0
34.700,10.0.1.1,269,22.6,0.0000,0
35.067,10.0.2.2,269,22.8,0.0000,0
35.714,10.0.1.1,319,26.6,0.0000,0
36.096,10.0.2.2,319,25.3,0.0000,0
36.751,10.0.1.1,364,27.0,0.3214,1
37.114,10.0.2.2,364,26.5,0.6667,1
37.788,10.0.1.1,332,26.0,1.0000,1
38.151,10.0.2.2,332,27.0,1.0000,1
38.806,10.0.1.1,272,25.5,1.0000,1
39.186,10.0.2.2,272,28.0,0.9310,1
39.832,10.0.1.1,223,22.4,0.3043,1
40.223,10.0.2.2,223,20.3,0.0000,0
40.833,10.0.1.1,186,16.0,0.0000,0
41.236,10.0.2.2,258,21.7,0.0000,0
41.859,10.0.1.1,221,18.5,0.0000,0
42.242,10.0.2.2,301,24.8,0.0000,0
42.905,10.0.1.1,266,22.0,0.0000,0
43.269,10.0.2.2,344,28.2,0.0000,0
43.922,10.0.1.1,313,24.6,0.0000,0
44.305,10.0.2.2,383,28.9,0.2667,0
44.923,10.0.1.1,357,25.0,0.8800,1
45.323,10.0.2.2,418,28.5,1.0000,1
45.960,10.0.1.1,317,19.3,1.0000,1
46.323,10.0.2.2,356,19.0,1.0000,1
46.541,10.0.3.3,575,24.6,1.0000,1
46.978,10.0.1.1,317,14.7,1.0000,1
47.378,10.0.2.2,356,17.1,1.0000,1
47.577,10.0.3.3,575,23.2,1.0000,1
48.051,10.0.1.1,260,11.2,1.0000,1
48.451,10.0.2.2,288,20.5,1.0000,1
48.595,10.0.3.3,474,23.6,1.0000,1
49.104,10.0.1.1,214,12.3,1.0000,1
49.524,10.0.2.2,233,14.9,1.0000,1
49.613,10.0.3.3,361,23.6,1.0000,1
50.123,10.0.1.1,180,15.7,1.0000,1
50.524,10.0.2.2,193,16.0,1.0000,1
50.614,10.0.3.3,278,22.0,1.0000,1
51.160,10.0.1.1,154,14.5,1.0000,1
51.524,10.0.2.2,164,16.0,1.0000,1
51.668,10.0.3.3,184,20.9,1.0000,1
52.196,10.0.1.1,119,14.5,1.0000,1
52.542,10.0.2.2,125,15.7,1.0000,1
52.669,10.0.3.3,156,21.0,1.0000,1
53.199,10.0.1.1,107,14.0,1.0000,1
53.596,10.0.2.2,111,16.1,0.9412,1
53.686,10.0.3.3,135,19.6,0.8500,1
