elapsed_s,src_ip,rate_kbps,pps
15.570,10.0.1.1,575,47.9
16.573,10.0.1.1,575,46.9
17.578,10.0.1.1,575,46.8
18.584,10.0.1.1,575,46.7
19.618,10.0.1.1,575,46.4
20.620,10.0.1.1,575,46.9
21.626,10.0.1.1,575,47.7
22.641,10.0.1.1,575,47.3
23.641,10.0.1.1,575,47.0
24.653,10.0.1.1,575,46.4
25.668,10.0.1.1,575,46.3
26.681,10.0.1.1,575,47.4
27.683,10.0.1.1,572,46.9
28.686,10.0.1.1,575,47.8
29.688,10.0.1.1,575,46.9
30.688,10.0.1.1,575,47.0
31.693,10.0.1.1,575,46.8
32.704,10.0.1.1,575,46.5
33.722,10.0.1.1,575,47.2
34.731,10.0.1.1,575,45.6
35.751,10.0.1.1,504,31.4
36.114,10.0.2.2,444,24.8
36.776,10.0.1.1,345,27.3
37.140,10.0.2.2,285,27.3
37.795,10.0.1.1,210,26.5
38.150,10.0.2.2,174,26.7
38.849,10.0.1.1,106,25.6
39.176,10.0.2.2,79,26.3
39.871,10.0.1.1,315,20.6
40.217,10.0.2.2,321,20.2
40.879,10.0.1.1,303,25.8
41.225,10.0.2.2,334,26.8
41.883,10.0.1.1,316,26.9
42.247,10.0.2.2,307,26.4
42.901,10.0.1.1,289,26.5
43.264,10.0.2.2,280,26.5
43.931,10.0.1.1,326,26.2
44.300,10.0.2.2,333,26.1
44.958,10.0.1.1,318,26.3
45.317,10.0.2.2,306,26.6
45.981,10.0.1.1,288,26.4
46.338,10.0.2.2,279,26.4
46.987,10.0.1.1,304,25.8
47.371,10.0.2.2,313,25.2
48.008,10.0.1.1,323,26.5
48.374,10.0.2.2,314,26.9
49.026,10.0.1.1,296,26.5
49.390,10.0.2.2,287,26.6
50.063,10.0.1.1,310,26.0
50.392,10.0.2.2,319,25.9
51.066,10.0.1.1,316,25.9
51.406,10.0.2.2,307,26.6
52.097,10.0.1.1,289,27.2
52.436,10.0.2.2,304,26.2
53.117,10.0.1.1,332,26.5
53.445,10.0.2.2,326,26.8
54.144,10.0.1.1,308,26.3
54.463,10.0.2.2,299,26.5
55.156,10.0.1.1,292,25.7
55.486,10.0.2.2,298,26.4
56.186,10.0.1.1,270,20.4
56.495,10.0.2.2,239,16.8
56.753,10.0.3.3,211,18.3
57.240,10.0.1.1,175,17.1
57.524,10.0.2.2,146,17.5
57.786,10.0.3.3,129,17.4
58.282,10.0.1.1,95,17.3
58.586,10.0.2.2,74,16.9
58.829,10.0.3.3,111,14.4
59.334,10.0.1.1,171,12.4
59.624,10.0.2.2,176,11.6
59.850,10.0.3.3,181,13.7
60.372,10.0.1.1,191,15.4
60.632,10.0.2.2,196,15.9
60.850,10.0.3.3,199,16.0
61.378,10.0.1.1,208,16.9
61.687,10.0.2.2,211,17.1
61.927,10.0.3.3,205,16.7
62.435,10.0.1.1,193,17.0
62.723,10.0.2.2,192,17.4
62.942,10.0.3.3,194,17.7
63.446,10.0.1.1,206,17.8
63.779,10.0.2.2,212,17.1
63.961,10.0.3.3,209,16.7
64.473,10.0.1.1,194,16.6
64.870,10.0.2.2,193,17.4
65.007,10.0.3.3,190,17.2
65.507,10.0.1.1,207,17.4
65.930,10.0.2.2,210,17.0
66.025,10.0.3.3,207,17.7
66.531,10.0.1.1,192,17.6
66.931,10.0.2.2,194,18.0
67.027,10.0.3.3,200,17.0
67.535,10.0.1.1,212,16.9
67.935,10.0.2.2,212,16.9
68.069,10.0.3.3,209,17.3
68.553,10.0.1.1,197,17.7
68.996,10.0.2.2,185,17.0
69.081,10.0.3.3,182,17.8
69.608,10.0.1.1,189,17.1
70.010,10.0.2.2,191,16.8
70.126,10.0.3.3,196,16.3
70.660,10.0.1.1,208,16.2
71.059,10.0.2.2,199,17.2
71.168,10.0.3.3,196,17.3
71.681,10.0.1.1,199,17.6
72.113,10.0.2.2,199,17.1
72.222,10.0.3.3,196,17.1
72.713,10.0.1.1,205,17.4
73.186,10.0.2.2,202,17.7
73.277,10.0.3.3,202,17.1
73.722,10.0.1.1,211,16.9
74.222,10.0.2.2,196,17.4
74.296,10.0.3.3,196,17.7
74.768,10.0.1.1,195,17.2
75.230,10.0.2.2,204,16.9
75.332,10.0.3.3,204,17.4
75.830,10.0.1.1,213,16.9
76.268,10.0.2.2,201,17.3
76.394,10.0.3.3,189,16.0
76.885,10.0.1.1,167,13.3
77.304,10.0.4.4,139,14.2
77.340,10.0.2.2,139,11.2
77.414,10.0.3.3,131,11.8
77.903,10.0.1.1,109,12.8
78.341,10.0.2.2,81,13.0
78.376,10.0.4.4,81,13.1
78.450,10.0.3.3,76,12.5
78.955,10.0.1.1,77,11.4
79.389,10.0.2.2,115,8.6
79.409,10.0.4.4,115,8.7
79.545,10.0.3.3,129,9.1
79.972,10.0.1.1,133,8.8
80.456,10.0.2.2,160,11.2
80.477,10.0.4.4,160,11.2
80.588,10.0.3.3,160,11.5
81.042,10.0.1.1,154,12.1
81.497,10.0.2.2,142,12.5
81.515,10.0.4.4,142,12.5
81.608,10.0.3.3,139,12.7
82.046,10.0.1.1,130,13.0
82.555,10.0.2.2,150,12.3
82.585,10.0.4.4,150,12.2
82.688,10.0.3.3,150,12.0
83.106,10.0.1.1,150,12.3
83.564,10.0.2.2,147,12.9
83.598,10.0.4.4,147,12.8
83.708,10.0.3.3,144,12.7
84.132,10.0.1.1,141,12.7
84.598,10.0.2.2,155,12.6
84.616,10.0.4.4,155,12.8
84.725,10.0.3.3,155,12.8
85.216,10.0.1.1,146,12.9
85.616,10.0.2.2,140,12.8
85.634,10.0.4.4,140,12.8
85.743,10.0.3.3,137,12.8
86.259,10.0.1.1,134,12.5
86.629,10.0.2.2,134,11.8
86.649,10.0.4.4,134,11.8
86.780,10.0.3.3,134,11.6
87.309,10.0.1.1,134,11.4
87.661,10.0.2.2,134,11.6
87.680,10.0.4.4,134,11.6
87.807,10.0.3.3,134,11.7
88.344,10.0.1.1,134,11.6
88.672,10.0.2.2,134,11.9
88.767,10.0.4.4,134,11.0
88.870,10.0.3.3,134,11.3
89.399,10.0.1.1,134,11.4
89.749,10.0.2.2,134,11.1
89.843,10.0.4.4,134,12.1
89.898,10.0.3.3,134,11.7
90.447,10.0.1.1,134,11.4
90.759,10.0.2.2,134,11.9
90.886,10.0.4.4,134,11.5
90.912,10.0.3.3,134,11.8
91.490,10.0.1.1,131,11.5
91.804,10.0.2.2,131,11.5
91.897,10.0.4.4,131,11.9
91.996,10.0.3.3,131,11.1
92.508,10.0.1.1,131,11.8
92.850,10.0.2.2,132,11.5
92.905,10.0.4.4,132,10.9
93.042,10.0.3.3,132,11.5
93.515,10.0.1.1,142,10.9
93.891,10.0.2.2,156,11.5
93.909,10.0.4.4,156,11.9
94.093,10.0.3.3,153,12.4
94.600,10.0.1.1,144,12.9
94.929,10.0.2.2,138,12.5
94.962,10.0.4.4,138,12.4
95.110,10.0.3.3,135,12.8
95.632,10.0.1.1,135,12.6
95.978,10.0.2.2,135,12.4
96.017,10.0.4.4,135,12.3
96.171,10.0.3.3,135,11.3
96.649,10.0.1.1,135,11.8
97.038,10.0.2.2,132,11.3
97.107,10.0.4.4,132,11.9
97.205,10.0.3.3,132,11.6
97.733,10.0.1.1,132,11.1
98.041,10.0.2.2,132,12.0
98.180,10.0.4.4,132,11.2
98.254,10.0.3.3,132,11.4
98.751,10.0.1.1,132,11.8
99.062,10.0.2.2,132,10.8
99.183,10.0.4.4,132,12.0
99.348,10.0.3.3,132,11.0
99.855,10.0.1.1,132,10.9
100.200,10.0.2.2,132,11.4
100.254,10.0.4.4,132,11.2
100.381,10.0.3.3,132,11.6
100.894,10.0.1.1,129,11.6
101.243,10.0.2.2,129,11.5
101.279,10.0.4.4,129,10.7
101.449,10.0.3.3,129,11.2
101.954,10.0.1.1,129,11.3
102.285,10.0.2.2,193,11.5
102.303,10.0.4.4,193,11.7
102.466,10.0.3.3,190,11.8
103.048,10.0.1.1,165,11.9
103.342,10.0.2.2,146,12.3
103.375,10.0.4.4,137,13.1
103.511,10.0.3.3,137,12.4
104.088,10.0.1.1,107,13.5
104.364,10.0.2.2,85,12.7
104.383,10.0.4.4,85,11.9
104.604,10.0.3.3,118,12.8
105.379,10.0.2.2,217,11.8
105.415,10.0.4.4,217,11.6
105.634,10.0.3.3,211,12.6
106.416,10.0.2.2,190,17.4
106.452,10.0.4.4,190,17.4
106.670,10.0.3.3,184,17.4
107.420,10.0.2.2,200,16.9
107.507,10.0.4.4,206,17.1
107.707,10.0.3.3,212,17.4
108.453,10.0.2.2,215,17.4
108.547,10.0.4.4,212,17.3
108.744,10.0.3.3,206,17.4
109.489,10.0.2.2,188,17.4
109.580,10.0.4.4,185,17.4
109.762,10.0.3.3,179,17.7
110.516,10.0.2.2,191,16.6
110.616,10.0.4.4,191,17.4
110.762,10.0.3.3,196,16.0
111.567,10.0.2.2,202,17.1
111.659,10.0.4.4,202,16.3
111.806,10.0.3.3,205,17.2
112.642,10.0.2.2,196,16.7
112.696,10.0.4.4,196,17.4
112.860,10.0.3.3,190,17.1
113.669,10.0.2.2,204,17.5
113.731,10.0.4.4,204,17.4
113.892,10.0.3.3,210,17.4
114.691,10.0.2.2,201,17.6
114.786,10.0.4.4,201,17.1
114.964,10.0.3.3,195,16.8
115.711,10.0.2.2,185,16.7
115.807,10.0.4.4,185,17.6
116.006,10.0.3.3,190,17.3
116.718,10.0.2.2,207,16.9
116.827,10.0.4.4,213,16.7
117.047,10.0.3.3,216,17.3
117.773,10.0.2.2,198,17.1
117.863,10.0.4.4,195,17.4
118.100,10.0.3.3,189,17.1
118.822,10.0.2.2,190,17.2
118.894,10.0.4.4,190,16.5
119.103,10.0.3.3,195,16.9
119.863,10.0.2.2,201,16.3
119.899,10.0.4.4,207,16.9
120.172,10.0.3.3,213,16.8
120.899,10.0.2.2,195,17.4
120.936,10.0.4.4,192,17.4
121.222,10.0.3.3,194,16.2
121.937,10.0.2.2,202,17.3
121.985,10.0.4.4,208,17.2
122.239,10.0.3.3,205,17.7
122.948,10.0.2.2,196,17.8
122.985,10.0.4.4,196,17.0
